name,base_model,stage,category,instruction,language,source,task_id
Multilingual Recursive Learning Scale 11,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_011
Multilingual Recursive Learning Scale 12,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_012
Multilingual Recursive Learning Scale 13,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_013
Multilingual Recursive Learning Scale 14,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_014
Multilingual Recursive Learning Scale 15,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_015
Multilingual Recursive Learning Scale 16,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_016
Multilingual Recursive Learning Scale 17,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_017
Multilingual Recursive Learning Scale 18,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_018
Multilingual Recursive Learning Scale 19,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_019
Multilingual Recursive Learning Scale 20,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_020
Multilingual Recursive Learning Scale 21,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_021
Multilingual Recursive Learning Scale 22,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_022
Multilingual Recursive Learning Scale 23,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_023
Multilingual Recursive Learning Scale 24,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_024
Multilingual Convex Conjecture Scale 1,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Diparingi state x1=[0.83, 0.73, 0.77, 0.01] lan x2=[0.42, 0.48, 0.02, 0.26], buktikake ketaksamaan konveks kanggo fungsi interoperabilitas I(x) nggunakake nilai lambda=0.5. Etung residual konveksitas R_convex.",jawa,synthetic,mid_training_jawa_scale24_convex_conjecture_001
Multilingual Convex Conjecture Scale 2,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Diparingi state x1=[0.68, 0.19, 0.62, 0.32] lan x2=[0.83, 0.63, 0.2, 0.06], buktikake ketaksamaan konveks kanggo fungsi interoperabilitas I(x) nggunakake nilai lambda=0.25. Etung residual konveksitas R_convex.",jawa,synthetic,mid_training_jawa_scale24_convex_conjecture_002
