id_umkm,nama_usaha,jenis_usaha,omset,aset,status_legalitas,is_aligned
28828607,UD. Krisna Trisula,Fashion,20043328,8313438,Terdaftar,1
28828608,UD. Heri Wiyata,Makanan & Minuman,8348563,3281572,Terdaftar,1
28828609,UD. Anang Baswara,Makanan & Minuman,47636417,5316536,Terdaftar,1
28828610,UD. Gilang Galang,Makanan & Minuman,41790652,5753490,Terdaftar,1
28828611,UD. Sekar Trijaya,Fashion,3613229,1564818,Terdaftar,1
28828612,UD. Diyan Prawira,Perdagangan,29509796,1537363,Terdaftar,1
28828613,UD. Fajar Darussalam Lukita,Jasa,14336128,4279679,Belum Terdaftar,0
28828614,UD. Yumna Wira,Perdagangan,15051081,9483812,,0
28828615,UD. Sani Segar,Makanan & Minuman,48877366,4595843,Terdaftar,1
28828616,UD. Nazar Baruna,Perdagangan,19591921,8471642,Belum Terdaftar,0
28828617,UD. Nazar Dwijaputra Dito,Fashion,16430952,6367533,Terdaftar,1
28828618,UD. Lutfi Reswara,Makanan & Minuman,21170169,2253804,Terdaftar,1
28828619,UD. Ujang Wibawa,Perdagangan,11057708,8197878,Belum Terdaftar,0
28828620,UD. Jafar Sanjaya,Jasa,15019139,4532792,Terdaftar,1
28828621,UD. Xenia Nirbayu,Makanan & Minuman,21124439,5234170,Terdaftar,1
28828622,UD. Jihan Gatra,Jasa,3043503,2198887,Belum Terdaftar,0
28828623,UD. Dewi Mandiri,Pendidikan,44835866,5082393,Belum Terdaftar,0
28828624,UD. Fikri Jaladara,Kesehatan,31411063,8521201,Belum Terdaftar,0
28828625,UD. Lukman Wangi,Perdagangan,19402681,2349733,Terdaftar,1
28828626,UD. Jasmin Prajurit,Perdagangan,46549795,9078456,Terdaftar,1
28828627,UD. Ony Mayang,Kesehatan,33930538,5652991,Terdaftar,1
28828628,UD. Gema Prana,Jasa,2320739,9929308,Terdaftar,1
28828629,UD. Celsi Cahyaningrat,Kesehatan,5946689,3607300,Terdaftar,1
,UD. Ucup Tirtayasa,Makanan & Minuman,40253559,9754163,Terdaftar,1
28828631,UD. Hilmiyah Tunggul,Jasa,4000272,3383876,Belum Terdaftar,0
28828632,UD. Cipta Nawasena Qira,Perdagangan,8055755,3625751,Terdaftar,1
28828633,UD. Ony Nawasena,Pendidikan,28633735,9283358,Belum Terdaftar,0
28828634,UD. Livia Wijaya,Jasa,22106121,624431,Terdaftar,1
28828635,UD. Carissa Rejo,Pendidikan,49053971,1713807,Terdaftar,1
28828636,UD. Qisya Berkarya Pandu,Perdagangan,21587581,2876700,Belum Terdaftar,0
28828637,UD. Ujang Kusumah Erlangga,Jasa,14916664,5601571,Belum Terdaftar,0
28828638,UD. Nina Sanjaya,Pendidikan,10659378,1317922,Terdaftar,1
28828639,UD. Jihan Prima,Jasa,36100504,8823691,Belum Terdaftar,0
28828640,UD. Mira Kelana,Kesehatan,31463643,8472112,Belum Terdaftar,0
28828641,UD. Jaya Ayodya,Jasa,27716675,9556446,Terdaftar,1
28828642,UD. Niken Arya,Perdagangan,20659180,5654448,Belum Terdaftar,0
28828643,UD. Sekar Siang,Kesehatan,13784473,4576055,Terdaftar,1
28828644,UD. Hanafi Bagaskara,Perdagangan,21044172,1275561,Terdaftar,1
28828645,UD. Gema Wijaksana,Perdagangan,26304658,3859502,Belum Terdaftar,0
28828646,UD. Eddy Wira,Perdagangan,34126892,4545348,Terdaftar,1
28828647,UD. Marsel Gandewa,Jasa,42005804,2446193,Terdaftar,1
28828648,UD. Niken Ananta,Perdagangan,43793219,1453143,Terdaftar,1
28828649,UD. Qyla Prana Balqis,Jasa,49396220,4391363,Terdaftar,1
28828650,UD. Prananda Manggala,Pendidikan,43957907,1751832,,0
28828651,UD. Qanita Mandiri,Perdagangan,12455336,9060988,Terdaftar,1
28828652,UD. Tania Madani,Pendidikan,22777305,6910775,Terdaftar,1
28828653,UD. Wulan Sukma Fikri,Kesehatan,38011563,7023060,Terdaftar,1
28828654,UD. Chiko Tejakencana Pandu,Makanan & Minuman,41076645,7011130,Terdaftar,1
28828655,UD. Candra Kalbu,Perdagangan,35167429,5748456,Terdaftar,1
28828656,UD. Delia Paseban,Jasa,35581221,9619374,Belum Terdaftar,0
28828657,UD. Taufan Jatiwangi,Perdagangan,8846732,5995579,Terdaftar,1
28828658,UD. Kamil Nirmala,Perdagangan,2703541,514600,Terdaftar,1
28828659,UD. Damar Wibawa,Makanan & Minuman,12152355,2653894,Terdaftar,1
28828660,UD. Berlian Cempaka,Perdagangan,11467618,8390333,Terdaftar,1
28828661,UD. Riko Wening,Fashion,26039591,5983839,Terdaftar,1
28828662,UD. Fani Manik,Fashion,33508384,983727,Terdaftar,1
28828663,UD. Xenia Paningrat Najwa,Jasa,22527761,2992835,unknown,0
28828664,UD. Wira Gatra,Jasa,23829753,3638845,Terdaftar,1
28828665,UD. Jay Wiyata,Perdagangan,7985555,9687373,Terdaftar,1
28828666,UD. Lono Senopati,Perdagangan,,3995268,Terdaftar,1
28828667,UD. Via Wijapranata Yusuf,Makanan & Minuman,44398258,6403103,Belum Terdaftar,0
28828668,UD. Krisna Segar,,2617312,8955003,Terdaftar,1
,UD. Pasha Atma,Makanan & Minuman,14974366,6198421,Terdaftar,1
28828670,UD. Vidi Warna,Pendidikan,4193956,4581101,Belum Terdaftar,0
28828671,UD. Gusti Sanjaya,Pendidikan,unknown,1488268,Belum Terdaftar,0
28828672,UD. Pandu Adhi,Jasa,33026450,7904087,Terdaftar,1
28828673,UD. Zulkarnaen Agastya,Perdagangan,42483616,9510396,Belum Terdaftar,0
28828674,UD. Qanitah Nusa,Perdagangan,35555936,5198349,Belum Terdaftar,0
28828675,UD. Wira Kamajaya,Perdagangan,30415011,6846532,Terdaftar,1
28828676,UD. Anisa Galuh,Kesehatan,45365124,9388786,Belum Terdaftar,0
28828677,UD. Iqra Abadi,Perdagangan,7317305,9466333,Terdaftar,1
28828678,UD. Ucup Jatiwangi,Kesehatan,49554542,5690300,Belum Terdaftar,0
28828679,UD. Desi Tirta,Jasa,21893566,9647996,Belum Terdaftar,0
28828680,UD. Lukita Panji,Pendidikan,32255212,,Belum Terdaftar,0
28828681,UD. Okta Tejakencana,Perdagangan,26166349,4729202,Terdaftar,1
28828682,UD. Farhan Sukarela Qomar,Perdagangan,25032131,7768394,Belum Terdaftar,0
28828683,UD. Qamar Bahagia,Makanan & Minuman,45639857,4933187,Belum Terdaftar,0
28828684,UD. Ina Sumirat,Jasa,11604241,6064560,Terdaftar,1
28828685,UD. Lidya Cinta,Perdagangan,32063713,3297749,Terdaftar,1
28828686,UD. Balqis Sehat,Jasa,26914736,4389594,Terdaftar,1
28828687,UD. Alya Sukarela,Pendidikan,7072143,7742494,Belum Terdaftar,0
28828688,UD. Adinda Putra,Kesehatan,1546138,6818061,Terdaftar,1
28828689,UD. Salwa Malam,Pendidikan,9152979,4324406,Belum Terdaftar,0
28828690,UD. Vega Putra,Jasa,31575615,2619311,Belum Terdaftar,0
28828691,UD. Cipta Citra,Jasa,47037549,8453097,Belum Terdaftar,0
28828692,UD. Farid Darma,Kesehatan,27034322,668929,Belum Terdaftar,0
28828693,UD. Qais Sari,Perdagangan,37695680,1833661,Terdaftar,1
28828694,UD. Pandu Mulya,Pendidikan,39300093,7834514,Belum Terdaftar,0
28828695,UD. Vita Kalbu,Perdagangan,44900616,7823436,Terdaftar,1
28828696,UD. Utha Mulya Tami,Perdagangan,40243035,8166464,Belum Terdaftar,0
28828697,UD. Fitri Manunggal,Pendidikan,4835731,6216996,Terdaftar,1
28828698,UD. Rosa Nirbayu,Jasa,6474127,2284119,Terdaftar,1
28828699,UD. Jodi Kinarya,Perdagangan,19593100,5772091,Terdaftar,1
28828700,UD. Marsel Indah,Kesehatan,20021216,7709862,Belum Terdaftar,0
28828701,UD. Marsel Anggara,Perdagangan,32833474,3167245,Belum Terdaftar,0
,UD. Fikri Saprahan,Kesehatan,48263438,6471002,Belum Terdaftar,0
28828703,UD. Lono Pagi,Pendidikan,23618639,6530226,Terdaftar,1
28828704,UD. Gracia Wening,Perdagangan,30925502,1678922,Belum Terdaftar,0
28828705,UD. Zahira Sehat,Jasa,28711773,4660357,Belum Terdaftar,0
28828706,UD. Fahmi Paseban,Perdagangan,9318872,8775493,Belum Terdaftar,0
28828707,UD. Lutfi Prajurit Lukita,Kesehatan,2734733,6110896,Belum Terdaftar,0
28828708,UD. Farhan Artha,Kesehatan,12367808,8143858,Belum Terdaftar,0
28828709,UD. Vidi Siang Pasha,Pendidikan,45711456,7102010,Belum Terdaftar,0
28828710,UD. Eni Lempung,Kesehatan,10948708,9345476,Belum Terdaftar,0
28828711,UD. Rian Trisaktiatma Elyas,Jasa,31990500,2136222,Belum Terdaftar,0
28828712,UD. Mega Kencana Qiana,Jasa,3055356,4725317,Belum Terdaftar,0
28828713,UD. Mario Ayodya,Pendidikan,47191623,8938648,Terdaftar,1
28828714,UD. Oki Bima,Pendidikan,10845504,4543115,Belum Terdaftar,0
28828715,UD. Isna Sunardi,Makanan & Minuman,6904087,8175371,Terdaftar,1
28828716,UD. Rangga Gandewa,Perdagangan,36564026,4643502,Belum Terdaftar,0
28828717,UD. Vina Lingga,Jasa,40562865,5412783,Terdaftar,1
28828718,UD. Priska Utamaindah,Jasa,13118720,3374122,Belum Terdaftar,0
28828719,UD. Habib Wicaksana Heri,Perdagangan,27739373,2004492,Belum Terdaftar,0
28828720,UD. Tasya Sejahtera,Perdagangan,31815146,5767326,Belum Terdaftar,0
28828721,UD. Barokah Jayengprana,Perdagangan,14597303,3724723,Terdaftar,1
28828722,UD. Yani Raharja Ulil,Jasa,12475465,7312656,Belum Terdaftar,0
28828723,UD. Vera Citra,Pendidikan,45430601,1428796,Belum Terdaftar,0
28828724,UD. Xenia Manunggal,Pendidikan,29918845,8011901,Belum Terdaftar,0
28828725,UD. Ulya Jayeng,Perdagangan,35305109,6430384,Terdaftar,1
28828726,UD. Pandu Bijaksana,Jasa,28183026,5525997,Belum Terdaftar,0
28828727,UD. Agus Asmaralaya,Perdagangan,24678508,8560631,Belum Terdaftar,0
28828728,UD. Halimah Agastya,Perdagangan,24037128,625732,Terdaftar,1
28828729,UD. Jay Kusen Umi,Pendidikan,18854152,5761132,Belum Terdaftar,0
28828730,UD. Qira Wiraatmaja,Kesehatan,17819815,4155547,Belum Terdaftar,0
28828731,UD. Cakra Bahagia Aldo,Perdagangan,16707622,7668440,Terdaftar,1
28828732,UD. Ucup Pusaka,Perdagangan,4216980,1846066,Terdaftar,1
28828733,UD. Wesly Hastinapura,Jasa,45870750,8910181,Terdaftar,1
,UD. Jasmine Saputra,Pendidikan,30142721,6310803,Belum Terdaftar,0
28828735,UD. Widi Saputrautama Leni,Kesehatan,17139506,4324593,,0
28828736,UD. Jafar Harmoni,Pendidikan,6370100,6515796,Belum Terdaftar,0
28828737,UD. Riyan Wirajaya,Perdagangan,37142615,5912096,Belum Terdaftar,0
28828738,UD. Nisa Tunggal,Perdagangan,12665632,1637198,Terdaftar,1
28828739,UD. Balqis Jagadmaya,Pendidikan,22315520,9459994,Belum Terdaftar,0
28828740,UD. Elva Manggala Tono,Jasa,33992950,4156933,Terdaftar,1
28828741,UD. Celsi Jagad Esa,Perdagangan,4868784,5520889,Belum Terdaftar,0
28828742,UD. Jihan Pancasila,Jasa,22871380,6310790,Belum Terdaftar,0
28828743,UD. Ilmi Bersemi,Perdagangan,35817838,4895913,Terdaftar,1
28828744,UD. Krisna Padi,Pendidikan,6431189,5131715,Belum Terdaftar,0
28828745,UD. Pandu Gemilang,Perdagangan,35798492,1341645,Terdaftar,1
28828746,UD. Livia Buana,Kesehatan,36965570,637607,Belum Terdaftar,0
28828747,UD. Obed Siang Mega,Pendidikan,48889840,1819904,Terdaftar,1
28828748,UD. Hana Baswara,Pendidikan,,3288321,Terdaftar,1
28828749,UD. Dora Galuh,Jasa,37805386,6553338,Belum Terdaftar,0
28828750,UD. Mila Anugerah Zainab,Kesehatan,4095640,8868131,Terdaftar,1
28828751,UD. Ziva Malam,Perdagangan,27593482,5449552,Belum Terdaftar,0
28828752,UD. Eni Jayeng,Makanan & Minuman,37387927,6258575,,0
28828753,UD. Juli Elok,Perdagangan,37775727,852937,Belum Terdaftar,0
28828754,UD. Echa Bahari,Pendidikan,4423391,1426325,Terdaftar,1
28828755,UD. Lea Trisakti,Kesehatan,26435010,7792736,Belum Terdaftar,0
28828756,UD. Salwa Ceria,Makanan & Minuman,3553772,9957868,Terdaftar,1
28828757,UD. Budi Darma,Jasa,32488600,817011,Belum Terdaftar,0
28828758,UD. Jihan Karya,Kesehatan,2941625,2779949,Belum Terdaftar,0
28828759,UD. Damar Adikara Dani,Kesehatan,7703724,7261396,Terdaftar,1
28828760,UD. Ulfa Gunawan,Kesehatan,2301779,4458091,Terdaftar,1
28828761,UD. Diyan Asih,Perdagangan,40472375,1152490,Terdaftar,1
28828762,UD. Pardi Purnama,Jasa,26331506,5336096,Terdaftar,1
28828763,UD. Rian Rejo,Perdagangan,13089424,7036429,Belum Terdaftar,0
28828764,UD. Jasmin Selaras,Pendidikan,14073427,7349287,Belum Terdaftar,0
28828765,UD. Ojan Cahaya,Perdagangan,4778001,2716337,Belum Terdaftar,0
28828766,UD. Uli Cerah,Pendidikan,10516920,1722526,Terdaftar,1
28828767,UD. Nindy Ilir,Kesehatan,17563725,5043103,Belum Terdaftar,0
28828768,UD. Ovan Utama,Kesehatan,38309665,3675557,Terdaftar,1
28828769,UD. Grego Jatinagara,Jasa,41058703,8803447,Belum Terdaftar,0
28828770,UD. Livia Sanjaya,Fashion,15357535,8738490,Terdaftar,1
28828771,UD. Alvino Asih,Pendidikan,10561799,9783108,Terdaftar,1
28828772,UD. Ulfa Persada,Pendidikan,3918569,7882516,Terdaftar,1
28828773,UD. Eddy Sudharmo Pandu,Jasa,15749647,1117080,Terdaftar,1
28828774,UD. Isna Sasmita,Perdagangan,18545125,2329089,Belum Terdaftar,0
28828775,UD. Yola Puri,Kesehatan,22542591,9796674,Terdaftar,1
28828776,UD. Wulan Wetan Andi,Jasa,14988867,738974,Belum Terdaftar,0
28828777,UD. Mira Mayang,Perdagangan,27730619,6584131,Belum Terdaftar,0
28828778,UD. Farid Indah,Perdagangan,9229083,3270137,Belum Terdaftar,0
28828779,UD. Mirna Harmoni Dina,Fashion,37950718,7204896,Belum Terdaftar,0
28828780,UD. Celsi Dewangga,Pendidikan,8190762,6780921,Terdaftar,1
28828781,UD. Elsa Kencana,Jasa,36132220,3789430,Belum Terdaftar,0
28828782,UD. Erni Bratadikara,Pendidikan,49149325,9906951,Belum Terdaftar,0
unknown,UD. Berlian Utama,Perdagangan,47913729,5948673,Belum Terdaftar,0
28828784,UD. Oki Kusen,Perdagangan,40263788,2392698,Belum Terdaftar,0
28828785,UD. Chika Utama,Perdagangan,37107569,9840838,Terdaftar,1
28828786,UD. Chiko Sidarta,Perdagangan,47117975,4505316,Terdaftar,1
28828787,UD. Silvi Cahyaningrat Inten,Jasa,36889282,4792610,Belum Terdaftar,0
28828788,UD. Pipit Alam,Perdagangan,47455178,4421719,Belum Terdaftar,0
28828789,UD. Diva Sahaja,Pendidikan,7427429,6728763,Belum Terdaftar,0
28828790,UD. Rafif Wening,Perdagangan,40775671,6253070,Belum Terdaftar,0
28828791,UD. Novi Ilir,Jasa,12540386,828947,Belum Terdaftar,0
28828792,UD. Aldo Jaya,Makanan & Minuman,11795968,3099168,Terdaftar,1
28828793,UD. Rafi Suryaputra,Perdagangan,29084485,2361695,Terdaftar,1
28828794,UD. Nindy Sukarela,Jasa,12242821,3741256,Belum Terdaftar,0
28828795,UD. Zahra Tunggal,Pendidikan,44689639,6042984,Terdaftar,1
28828796,UD. Halim Wiraatmaja,Perdagangan,12386841,9519096,Terdaftar,1
28828797,UD. Tegar Kusuma,Kesehatan,44817726,4745918,Belum Terdaftar,0
28828798,UD. Fikri Resaputra,Kesehatan,11716194,4181401,Terdaftar,1
28828799,UD. Candra Paseban,Jasa,33126488,1289818,Belum Terdaftar,0
28828800,UD. Elyas Adyatma,Pendidikan,30841109,1157857,Belum Terdaftar,0
28828801,UD. Zulkarnaen Sumringah,Pendidikan,47276176,5166095,Belum Terdaftar,0
28828802,UD. Yasir Satria Jibril,Perdagangan,29446669,7214148,Belum Terdaftar,0
28828803,UD. Winda Raharja,Kesehatan,3633026,1167185,Terdaftar,1
28828804,UD. Ayesha Sanjaya Muthia,Pendidikan,24603779,2532833,Terdaftar,1
28828805,UD. Zidan Nirbayu,Kesehatan,12919158,5415725,Terdaftar,1
28828806,UD. Gani Haji,Jasa,39046209,5055032,Terdaftar,1
28828807,UD. Nando Jagadmaya,Makanan & Minuman,48031340,1242857,Belum Terdaftar,0
28828808,UD. Zara Resaputra,Kesehatan,14616189,4583035,Terdaftar,1
28828809,UD. Yasir Rejo,Jasa,3589605,995343,Terdaftar,1
28828810,UD. Berlian Prana Riko,Perdagangan,43184238,4602521,Belum Terdaftar,0
28828811,UD. Ujang Pelangi,Jasa,34835707,5969623,Belum Terdaftar,0
28828812,UD. Chintya Sudarsana,Makanan & Minuman,2778763,3998484,Belum Terdaftar,0
28828813,UD. Elva Kusuma,Jasa,4766817,5428397,Terdaftar,1
28828814,UD. Fikri Yudhistira,Pendidikan,,8118643,Belum Terdaftar,0
28828815,UD. Erlin Bratadikara,Perdagangan,31225195,2346540,Terdaftar,1
28828816,UD. Eni Tirtaatmaja,Pendidikan,23613736,6263545,Belum Terdaftar,0
28828817,UD. Delia Gunawan,Pendidikan,5095837,2248836,Belum Terdaftar,0
28828818,UD. Bayu Abdi,Kesehatan,3021204,8122004,Terdaftar,1
28828819,UD. Adinda Hilir,Kesehatan,11419255,605270,Belum Terdaftar,0
28828820,UD. Qais Kawiswara Ujang,Perdagangan,36599657,553204,Terdaftar,1
28828821,UD. Naufal Gita,Jasa,8742689,4496607,Belum Terdaftar,0
28828822,UD. Qanita Utama,Kesehatan,48353055,2312985,Belum Terdaftar,0
28828823,UD. Tari Hilir,Fashion,1403290,8411608,Terdaftar,1
28828824,UD. Lono Mulyo,Jasa,27931559,2201823,Terdaftar,1
28828825,UD. Vita Harmoni,Kesehatan,47517227,6840192,Terdaftar,1
28828826,UD. Pasha Sidarta,Pendidikan,32819305,6993316,Belum Terdaftar,0
28828827,UD. Zidanar Sahaja,Jasa,15864114,9547000,Belum Terdaftar,0
28828828,UD. Anang Putri,Fashion,37111403,8171911,Terdaftar,1
28828829,UD. Lando Kencana,Jasa,48971939,4119928,Belum Terdaftar,0
28828830,UD. Obed Ranggalawe,Pendidikan,6884344,3239982,Terdaftar,1
28828831,UD. Priska Madusari,Perdagangan,14217827,9881417,Belum Terdaftar,0
28828832,UD. Vera Utamaindah,Pendidikan,1327080,4586670,Belum Terdaftar,0
28828833,UD. Fikra Bima,Kesehatan,4633786,3226590,Terdaftar,1
28828834,UD. Kamil Harapan,Pendidikan,32314291,2232177,Belum Terdaftar,0
28828835,UD. Jihan Adhi,Jasa,47672386,9914597,Terdaftar,1
28828836,UD. Riyan Kusumasari,Kesehatan,40618929,4684865,Terdaftar,1
unknown,UD. Qisya Jati Adinda,Makanan & Minuman,16030839,9453296,Terdaftar,1
28828838,UD. Wesly Widuri,Perdagangan,38612983,6078820,Terdaftar,1
28828839,UD. Yaniar Putra,Perdagangan,9384448,6588333,Terdaftar,1
28828840,UD. Wesly Adiwangsa,Perusahaan,7967078,4669539,Terdaftar,1
28828841,UD. Kevin Sanjaya,Perusahaan,29268199,1165896,Belum Terdaftar,0
28828842,UD. Dina Baswara,Pendidikan,5811674,912858,Terdaftar,1
28828843,UD. Nibras Prawira,Kesehatan,49415339,4154054,Terdaftar,1
28828844,UD. Erlin Kusumasari,Perdagangan,15547811,5881277,Belum Terdaftar,0
28828845,UD. Tono Surya Juli,Jasa,31788189,9406030,Terdaftar,1
28828846,UD. Barokah Saputranegara,Kesehatan,1749513,1156509,Terdaftar,1
28828847,UD. Yuli Permai,Kesehatan,14110786,8420621,Belum Terdaftar,0
28828848,UD. Weni Jaladara,Pendidikan,35768254,1588387,Terdaftar,1
28828849,UD. Ulfa Bagaskara,Fashion,4508965,5209262,Belum Terdaftar,0
28828850,UD. Okta Jatiwangi,Fashion,44315041,8803532,Terdaftar,1
28828851,UD. Priska Bahagia,Jasa,41171923,8653936,,0
28828852,UD. Qisha Jati,Perdagangan,34612626,5272283,Terdaftar,1
28828853,UD. Eni Hastinapura,Jasa,34048282,8444672,Terdaftar,1
28828854,UD. Udin Bratadikara,Pendidikan,3563735,2103178,Terdaftar,1
28828855,UD. Widi Kusumah,Perusahaan,8044216,3396728,Belum Terdaftar,0
28828856,UD. Nina Anindita,Jasa,43620275,821435,Belum Terdaftar,0
28828857,UD. Gilangga Mahendra,Perdagangan,37574841,5490895,Terdaftar,1
28828858,UD. Juli Indah,Kesehatan,39899017,7539006,Terdaftar,1
28828859,UD. Dani Elok,Perdagangan,32813611,4866030,Terdaftar,1
28828860,UD. Prananda Panji,Jasa,36923103,,Belum Terdaftar,0
28828861,UD. Habib Widhi,Kesehatan,45209853,1136954,Belum Terdaftar,0
28828862,UD. Vega Pramana,Jasa,31551990,7693077,Terdaftar,1
28828863,UD. Kirana Cinta,Jasa,13546543,1561504,Belum Terdaftar,0
28828864,UD. Valen Sukma,Perdagangan,13033827,3818933,Terdaftar,1
28828865,UD. Gani Kusuma,Perusahaan,44698753,9586276,Belum Terdaftar,0
28828866,UD. Shinta Anggara,Perdagangan,21860685,5659191,Terdaftar,1
28828867,UD. Vito Sukarela,Perdagangan,17447180,9940544,Terdaftar,1
28828868,UD. Umar Kusumasari,Jasa,41365495,3628067,Terdaftar,1
28828869,UD. Yola Sunardi Viera,Jasa,48988017,4636654,Terdaftar,1
28828870,UD. Qanita Atma,Kesehatan,28215676,2223195,Terdaftar,1
28828871,UD. Wesly Kayastha,Kesehatan,44130256,5875529,Belum Terdaftar,0
28828872,UD. Yora Bintang,Perdagangan,14784602,2634217,Belum Terdaftar,0
28828873,UD. Najwa Tejakusuma,Pendidikan,13726581,1325915,Terdaftar,1
28828874,UD. Sinta Gatra,Perdagangan,37445724,3419785,Terdaftar,1
28828875,UD. Yuli Dewangga,Pendidikan,2929484,7675474,Belum Terdaftar,0
28828876,UD. Eni Saputrautama,Perdagangan,16877144,8068370,Belum Terdaftar,0
28828877,UD. Sinta Adikara,Pendidikan,7047063,1368885,Belum Terdaftar,0
28828878,UD. Willy Brawijaya,Kesehatan,11561519,7192287,Terdaftar,1
28828879,UD. Alma Wacana,Jasa,12954582,1486494,Belum Terdaftar,0
28828880,UD. Diva Cendana,Perdagangan,40188761,7468343,Terdaftar,1
28828881,UD. Ojan Lempung,Perdagangan,16222435,3707207,Belum Terdaftar,0
28828882,UD. Jay Sukadarma,Perdagangan,5714885,3198320,Terdaftar,1
28828883,UD. Oki Kawiswara,Kesehatan,28239119,4921526,Terdaftar,1
28828884,UD. Rizki Jayeng,Pendidikan,40327800,2333609,Terdaftar,1
28828885,UD. Ovan Adikara Iman,Kesehatan,7766682,3352321,Belum Terdaftar,0
28828886,UD. Putra Wiraatmaja,Perdagangan,47153921,2017810,Belum Terdaftar,0
28828887,UD. Gani Prana,Pendidikan,29596617,6151098,Terdaftar,1
28828888,UD. Lea Jatiwangi Rangga,Kesehatan,7729199,9545726,Terdaftar,1
28828889,UD. Qira Kusumajati,Pendidikan,19305223,5236531,Belum Terdaftar,0
28828890,UD. Juni Wening,Kesehatan,35240520,7888970,Belum Terdaftar,0
28828891,UD. Zahira Anindita,Pendidikan,31664524,9169689,Terdaftar,1
28828892,UD. Fatimah Ayodya,Jasa,20212871,8037509,Terdaftar,1
28828893,UD. Widya Santosa,Perdagangan,29133146,6552283,Terdaftar,1
28828894,UD. Dewi Trisudira,Pendidikan,28988798,2537666,Belum Terdaftar,0
28828895,UD. Xenia Maheswara,Jasa,2976233,2060443,Terdaftar,1
28828896,UD. Lukita Bratadikara,Perdagangan,41009000,4779951,Terdaftar,1
28828897,UD. Nando Mahendra,Perdagangan,16280545,5949660,Belum Terdaftar,0
28828898,UD. Jordi Wacana,Kesehatan,15637916,9275532,Belum Terdaftar,0
28828899,UD. Gracia Utama,Jasa,20910813,6261436,Belum Terdaftar,0
28828900,UD. Iqbal Reswara,Jasa,48356367,2541150,Terdaftar,1
